,eventDate,year,month,day,habitat,countryCode,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,hasCoordinate,species,iucnRedListCategory,substrate,latitude,longitude,coorUncert,observationID,region,district,filename,category_id,metaSubstrate,poisonous,elevation,landcover,biogeographicalRegion,filepath,label,is_augmented
0,2021-06-26,2021,6.0,26.0,Bog woodland,DK,Tomentella sublilacina (Ellis & Holw.) Wakef.,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,sublilacina,True,Thelephora wakefieldiae,NE,dead wood (including bark),55.755206,12.443841,25.0,3355965302,Hovedstaden,Gladsaxe,2-3355965302.JPG,2227,wood,0,33.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-3355965302.JPG,0,False
1,2019-11-07,2019,11.0,7.0,Unmanaged deciduous woodland,GR,"Rubroboletus demonensis Vasquez, Simonini, Svetash., Mikšík & Vizzini",Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Rubroboletus,demonensis,True,Rubroboletus demonensis,NE,soil,39.819414,21.935278,50.0,2452380296,Thessaly and Central Greece,Thessaly,1-2452380296.JPG,1992,jord,0,562.0,4.0,mediterranean,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2452380296.JPG,0,False
2,2017-11-08,2017,11.0,8.0,Mixed woodland (with coniferous and deciduous trees),ES,Tricholoma caligatum (Viv.) Ricken,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,caligatum,True,Tricholoma caligatum,NE,soil,41.814792,2.290759,75.0,2238530134,Cataluña,Barcelona,0-2238530134.JPG,2277,jord,0,0.0,17.0,mediterranean,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238530134.JPG,0,False
3,2018-10-14,2018,10.0,14.0,Deciduous woodland,DK,Thaxterogaster collocandoides (Reumaux) Niskanen & Liimat.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Thaxterogaster,collocandoides,True,Thaxterogaster collocandoides,NE,soil,55.503103,9.490898,5.0,2238572187,Syddanmark,Kolding,0-2238572187.JPG,2198,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238572187.JPG,0,False
4,2021-12-18,2021,12.0,18.0,Mixed woodland (with coniferous and deciduous trees),RU,Cytidia salicina (Fr.) Burt,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Vuilleminiaceae,Cytidia,salicina,True,Cytidia salicina,NE,dead wood (including bark),59.555303,30.624894,15.0,3429082317,Leningrad,Tosnenskiy rayon,1-3429082317.JPG,636,wood,0,3.0,17.0,boreal,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-3429082317.JPG,0,False
5,2019-11-06,2019,11.0,6.0,Deciduous woodland,DK,Echinoderma calcicola (Knudsen) Bon,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Echinoderma,calcicola,True,Echinoderma calcicola,NE,soil,54.964398,12.516244,25.0,2452380517,Sjælland,Vordingborg,1-2452380517.JPG,735,jord,1,75.0,5.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2452380517.JPG,0,False
6,2019-03-30,2019,3.0,30.0,Thorny scrubland,DK,Pseudombrophila ripensis (E.C.Hansen) Brumm.,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pseudombrophilaceae,Pseudombrophila,ripensis,True,Pseudombrophila ripensis,NE,faeces,56.075005,12.406775,25.0,2237860695,Hovedstaden,Gribskov,6-2237860695.JPG,1843,animals,0,22.0,12.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/6-2237860695.JPG,18,False
7,2020-09-07,2020,9.0,7.0,gravel or clay pit,DK,Arrhenia rickenii (Hora) Watling,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Arrhenia,rickenii,True,Arrhenia rickenii,NE,soil,55.627899,12.014879,75.0,2860309313,Sjælland,Roskilde,1-2860309313.JPG,111,jord,0,45.0,8.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/1-2860309313.JPG,0,False
8,2019-08-25,2019,8.0,25.0,Unmanaged deciduous woodland,DK,Leucoagaricus sublittoralis (Kühner ex Hora) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucoagaricus,sublittoralis,True,Leucoagaricus littoralis,NE,soil,55.777719,11.300151,10.0,2413147828,Sjælland,Kalundborg,2-2413147828.JPG,1285,jord,0,0.0,17.0,continental,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/2-2413147828.JPG,0,False
9,2017-11-03,2017,11.0,3.0,Deciduous woodland,DK,Tuber mesentericum Vittad.,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,mesentericum,True,Tuber mesentericum,NE,soil,55.284053,8.947609,1000.0,2238532208,Syddanmark,Haderslev,0-2238532208.JPG,2304,jord,0,0.0,17.0,atlantic,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/0-2238532208.JPG,18,False
10,2021-01-14,2021,1.0,14.0,rock,DK,Didymocyrtis slaptonensis (D.Hawksw.) Hafellner & Ertz,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Didymocyrtis,slaptonensis,True,Didymocyrtis slaptonensis,NE,lichens,56.56491,8.297727,10.0,3052849395,Midtjylland,Lemvig,5-3052849395.JPG,703,fungi and mycetozoans,0,28.0,9.0,atlantic,../data/fungi-clef-2025/images/FungiTastic-FewShot/train/300p/5-3052849395.JPG,5,False
